,GaussianNB Precision,GaussianNB Recall,Random Forest Precision,Random Forest Recall,AdaBoost Precision,AdaBoost Recall,KNN Precision,LNN Recall,LDA Precision,LDA Recall,Decision Tree Precision,Decision Tree Recall,Logistic Regression Precision,Logistic Regression Recall,RBF SVM Precision,RBF SVM Recall,Linear SVM Precision,Linear SVM Recall,XGBoost Precision,XGBoost Recall
0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0,0.3026729559748428,1.0
1,0.32187761944677284,0.9974025974025974,0.32187761944677284,0.9974025974025974,0.32187761944677284,0.9974025974025974,0.3336229365768897,0.9974025974025974,0.32187761944677284,0.9974025974025974,0.4888304862023653,0.9662337662337662,0.32187761944677284,0.9974025974025974,0.32187761944677284,0.9974025974025974,0.32187761944677284,0.9974025974025974,0.32187761944677284,0.9974025974025974
2,0.3248730964467005,0.9974025974025974,0.4888304862023653,0.9662337662337662,0.4888304862023653,0.9662337662337662,0.5173852573018081,0.9662337662337662,0.4888304862023653,0.9662337662337662,0.5931623931623932,0.9012987012987013,0.4888304862023653,0.9662337662337662,0.4888304862023653,0.9662337662337662,0.4888304862023653,0.9662337662337662,0.4888304862023653,0.9662337662337662
3,0.3368421052631579,0.9974025974025974,0.496,0.9662337662337662,0.496,0.9662337662337662,0.6390423572744015,0.9012987012987013,0.496,0.9662337662337662,0.7222222222222222,0.8103896103896104,0.5173852573018081,0.9662337662337662,0.496,0.9662337662337662,0.496,0.9662337662337662,0.5173852573018081,0.9662337662337662
4,0.33627537511032657,0.9896103896103896,0.5254237288135594,0.9662337662337662,0.5254237288135594,0.9662337662337662,0.7270588235294118,0.8025974025974026,0.5254237288135594,0.9662337662337662,1.0,0.0,0.5542763157894737,0.8753246753246753,0.5254237288135594,0.9662337662337662,0.5931623931623932,0.9012987012987013,0.5254237288135594,0.9662337662337662
5,0.5263908701854494,0.9584415584415584,0.6390423572744015,0.9012987012987013,0.6390423572744015,0.9012987012987013,1.0,0.0,0.6390423572744015,0.9012987012987013,,,0.5644891122278057,0.8753246753246753,0.6390423572744015,0.9012987012987013,0.6390423572744015,0.9012987012987013,0.6390423572744015,0.9012987012987013
6,0.6417910447761194,0.8935064935064935,0.7222222222222222,0.8103896103896104,0.7222222222222222,0.8103896103896104,,,0.7222222222222222,0.8103896103896104,,,0.7222222222222222,0.8103896103896104,0.7222222222222222,0.8103896103896104,0.7222222222222222,0.8103896103896104,0.7222222222222222,0.8103896103896104
7,0.7270588235294118,0.8025974025974026,0.7270588235294118,0.8025974025974026,0.7270588235294118,0.8025974025974026,,,0.7270588235294118,0.8025974025974026,,,0.7270588235294118,0.8025974025974026,0.7270588235294118,0.8025974025974026,0.7270588235294118,0.8025974025974026,0.7270588235294118,0.8025974025974026
8,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
