#chrm,start,stop,band,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
10,38000001,39800000,10p11.1,0.042703704,0.019894444,0.034863248,0.121928571,0.079770833,0.035893004,-0.002166667,0.024919192,0.071507246,0.009772727,0.559365079,-0.01279798,0.081655172,0.031066667,0.030952381,0.0343125,0.071024969,0.032865844,0.037869136,-0.002857143,-0.0829,0.044326667,0.056461538,0.090014815,0.054819923,0.025981928,0.038111111,0.023535211,0.086528889,0.120037879,0.071403865,0.486650794
10,34200001,38000000,10p11.21,0.05164537,0.064421875,0.058291667,0.123,0.039902344,-0.007125,0.005177083,0.035590909,0.101380435,0.018471591,0.544142857,0.048761364,0.097534483,0.00083125,0.05727381,0.014695313,0.03919382,0.050284259,0.088380556,-0.012875,-0.0725375,0.021685625,0.056461538,0.082825,0.117797414,0.043003012,0.038111111,0.021085387,0.09552,0.115639205,0.092065217,0.584258929
10,31100001,34200000,10p11.22,0.056617733,0.059693182,0.025235431,0.107545455,0.098056818,-0.030097643,-0.021090909,0.025570248,0.085320158,0.012938017,0.572064935,0.006479339,0.067601881,-0.001677273,0.016229437,0.051676136,0.023441267,0.054181145,0.084969697,-0.042928571,0,0.024503182,0.015398601,-0.002890909,0.154329154,0.050495619,0.022191919,0.026022407,0.09772,0.073777893,0.084000791,0.521733766
10,29300001,31100000,10p11.23,0.019648971,0.01321875,-0.030438034,0.042550595,-0.03340625,-0.033290123,0.002538194,0,-0.012554348,0,0.095857143,-0.000575758,-0.002933908,-0.0301,-0.03934127,-0.002036458,0.036305243,0.06542284,0.064533333,-0.039928571,-0.02395,0.015732083,0.006512821,-0.117912963,0.110913793,-0.011421185,-0.049444444,0.022482981,-0.010406667,0.020001894,0.02125,0.038892857
10,24300001,29300000,10p12.1,0.010889144,0.008602586,0.017893015,-0.003593596,-0.037078664,0.003776501,0.032408046,0.014874608,0.048095952,0.001978056,0.013995074,0.024641066,0.033028537,0.020108621,-0.005591133,0.011351293,0.038080201,0.020276628,5.87E-05,0.050206897,0.1914,0.002986724,-0.026098143,-0.0839341,0.127958383,-0.023127129,-0.008524904,0.01073458,-0.001005517,0.00278605,0.018437481,-0.046428571
10,22300001,24300000,10p12.2,0.025729712,0.014701667,0.053738462,0.011233333,0.082341667,0.090367901,0.021333333,-0.004681818,0.102866667,0,0.002557143,0.050654545,0.050885057,0.03012,0.026679365,0,0.056229963,0.02478716,0.025698765,0.158633333,0.0415,0.013346,0.012569231,-0.004299259,0.077287356,0.006936546,0,0.026509859,0.140682667,0.022853788,0.044866667,-0.018619048
10,18400001,22300000,10p12.31,0.017617284,0.012706667,0.040415385,0.020797619,0.01276875,0.107466667,0.000480556,-0.008560606,0.0838,0,0,0.034975758,0.031406897,0.050466667,0.033412698,-0.004095833,0.056551311,0.027562469,0.027773827,0.130104762,-0.0665,0.013055,0.015533333,0.002933333,0.010383908,0.005572289,0.003881481,0.019462911,0.039338667,0.041379545,0.050814493,0.013452381
10,17300001,18300000,10p12.33,0.036118329,0.01295,0.108092702,0.109120879,0.098435096,0.07031339,-0.004669872,-0.016318182,0.031167224,0,0,0.063513986,0.046071618,0.045476923,-0.003,0,0.052119274,0.049452422,0.041961254,0.129571429,-0.050846154,0.020149231,0.024153846,0.037196581,0.209644562,0.02918304,0.029111111,0.011985915,-0.010704615,0.031326923,0.04500602,0.033857143
10,12200001,17300000,10p13,0.044393606,0.024108974,0.071292571,0.109045788,0.064939103,0.034523267,-0.030095085,-0.00101049,0.07426087,0.005681818,0.015294872,0.095307692,0.014278515,0.08295641,0.07478022,0.016110577,0.04560847,0.052336942,0.024223552,0.088501832,-0.016905128,0.021975128,0.062727811,-0.028598291,0.118041556,0.010407939,0.029111111,0.021760925,0.102707692,0.02177127,0.032155407,0.031584249
10,6600001,12200000,10p14,0.065060435,0.00352381,0.116405372,0.035391156,0.068700893,0.03947619,0.001990079,-0.018861472,0.147302277,0.002337662,0.002401361,0.040854978,0.014661741,0.15887619,0.051378685,0.086354167,0.010630284,0.033026455,0.070632804,0.000309524,0,0.027024762,0.031978022,0.064235979,0.133853859,0.024014917,0.034931217,0.011323273,0.107312381,0.027897727,0.001981366,-0.019316327
10,3800001,6600000,10p15.1,0.081099361,-0.029675862,0.114558798,0.068235222,0.069799569,0.082716475,0.02083908,-0.050987461,0.089986507,0.018553292,0.018135468,-0.028495298,0.024663496,0.159541379,0.043305419,0.092887931,0.029493995,0.049934355,0.125613538,0.040679803,0,0.046028448,0.044962865,0.136449808,0.214814507,0.067124636,0.049130268,0.049647402,-0.050245517,0.060122649,0.01747976,0.030002463
10,3000001,3800000,10p15.2,0.079312757,-0.029266667,0.119752137,-0.046821429,0.221625,0.10637037,0.045125,-0.072454545,0.084434783,0.050909091,-0.114428571,-0.039136364,0.001655172,0.1599,0.061952381,0.173,0.025183521,0.066676543,0.121888889,0.040428571,0,0.048885,0.030128205,0.123955556,0.282942529,0.014188755,-0.024333333,0.064579812,0.05984,0.035363636,0.022391304,-0.129571429
10,1,3000000,10p15.3,0.061220741,-0.041313333,0.182389744,0.011292857,0.040414583,0.076839506,0.049491667,-0.077563636,0.089930435,0.050909091,-0.114428571,-0.138251515,0.00848046,0.21912,0.035155556,0.098566667,0.014052434,0.09170963,0.107155556,0.017557143,0.046893333,0.045303667,0.005,-0.02605037,0.30077931,0.010761847,0.110333333,0.015733333,0.0844,0.010545455,-0.000183768,-0.096228571
10,41600001,45500000,10q11.21,-0.00722731,-0.008482576,0.017905206,-0.093510823,0.067672348,-0.039184063,0.01347601,-0.007871901,0.08398419,-0.053646006,0.015119048,-0.026093664,-0.016058516,-0.00065303,0.052991342,0.084875,0.031414368,-0.010485746,-0.003454545,0.038770563,-0.085151515,-0.035298788,0.067491841,-0.015691582,0.010946708,-0.038900876,0.038111111,-0.037711694,0.017361212,-0.02713292,0.018629249,-0.142640693
10,45500001,48600000,10q11.22,-0.000683457,-0.001375,-0.003027106,-0.14405102,0.043342857,-0.044779894,-0.002747619,0.012985714,0.042243478,-0.054651948,-0.017263265,0.038679221,-0.010615764,0.036388571,0.051702041,0.059571429,0.063358909,0.007217566,0.00235619,0.028434694,-0.088822857,-0.027479,0.063687912,-0.027286984,-0.015013793,-0.039980551,0.017047619,-0.054643058,0.012110857,-0.084119805,0.032510807,-0.150042857
10,48600001,51100000,10q11.23,-0.032351029,-0.011683333,-0.018000855,-0.220882143,-0.027417708,-0.139581481,-0.018218056,-0.012259091,-0.00092029,-0.016989394,-0.088640476,-0.065904545,-0.032958621,-0.037005,-0.018715873,0.00034375,0.02731985,-0.050585185,-0.028077037,0.048457143,-0.095503333,-0.033350667,0.047025641,-0.023652593,-0.113082759,-0.044198795,-0.072296296,-0.064384272,-0.013853333,-0.064375758,0.017365507,-0.155364286
10,51100001,59400000,10q21.1,-0.006237817,0.032635526,0.000789474,-0.078629699,0.034827303,-0.124079922,0.028414474,-0.01065311,0.015446224,-0.014090909,-0.112646617,-0.074655502,0.015088929,-0.038126316,0.017117794,0.069881579,0.040321703,-0.043953216,-0.006719298,0.010045113,-0.092321053,-0.020069211,0.015036437,-0.052073684,-0.09915245,-0.007821497,-0.018321637,-0.045002965,0.023018947,-0.037001794,0.010190847,-0.127018797
10,59400001,62800000,10q21.2,0.036454733,0.099916667,0.043876068,0.144535714,0.089859375,-0.086101852,0.018291667,0.03942803,0.060873188,0.012159091,-0.128357143,0.015079545,0.121321839,0.023304167,0.036194444,0.106291667,0.049008427,-0.019093827,0.037262346,0.061827381,-0.076208333,0.006654583,0.087076923,-0.020196296,0.062221264,0.032710341,0.032833333,-0.030923709,0.08374,0.007904356,0.015232609,-0.145785714
10,62800001,68800000,10q21.3,0.019324122,0.040578846,0.058837278,0.041082418,0.08588101,-0.123764957,0.033011218,0.071491259,0.145785953,-0.039047203,-0.104005495,-0.007164336,0.09856366,0.0896,0.024315018,0.096831731,0.048958513,-0.028490883,0.029534758,0.033898352,-0.0829,-0.0181675,0.064381657,-0.016989744,0.012143236,0.012853568,0.026666667,-0.042299567,0.120521538,0.041589598,0.01686087,-0.077516484
10,68800001,73100000,10q22.1,0.026873185,0.0187005,0.104448718,0.032197857,0.073053125,-0.093191111,0.0999425,0.079009091,0.080591304,-0.066718182,-0.06992,-0.004142727,0.01278069,0.11811,0.03132,0.02320375,0.041950337,-8.15E-05,0.041584593,0.052105714,-0.059758,-0.0171277,0.048333846,0.041612889,0.043937241,0.026091807,0.045506667,-0.004509718,0.07556,0.072379545,0.061502261,0.031821429
10,73100001,75900000,10q22.2,0.069077709,0.078423611,0.108962963,0.071121032,0.08003125,-0.030407407,0.136393519,0.090233586,0.150082126,0.039873737,-0.051775794,-0.02640404,0.037583333,0.127729167,0.016191799,0.035571181,0.059060237,0.050283333,0.091525309,0.040569444,0.174172222,0.013698611,0.048514957,0.087730247,0.041092912,0.054791332,-0.007280864,0.053287167,0.098013333,0.126634785,0.131002415,0.117617063
10,75900001,80300000,10q22.3,0.099339989,0.125570652,0.081403567,0.000773292,0.064445652,-0.05552496,0.128347826,0.1145,0.102941399,0.074766798,-0.03397205,0.051780632,0.118689655,0.147682609,0,0.03136413,0.079684905,0.090622866,0.182918841,0.050878882,0.1723,0.057321304,0.091989967,0.087230918,0.14423988,0.042688318,0,0.058261788,0.050685217,0.133387352,0.195742155,0.196354037
10,80300001,86100000,10q23.1,0.006951924,0.031752941,0.040470588,-0.016033613,-0.005351103,-0.086640523,0.069644608,0.062839572,-0.002800512,0.065414439,-0.031222689,-0.045184492,-0.06448073,0.113882353,-0.010134454,-0.035794118,0.005017184,-0.066647495,-0.014929847,-0.011752101,0.163811765,-0.014972353,0.021488688,-0.023155556,0.00194929,-0.011053863,-0.022980392,0.005664872,-0.010701176,0.071283422,0.055988747,0.027021008
10,86100001,87700000,10q23.2,-0.06738495,-0.031214286,-0.012656899,-0.095736395,-0.057598214,-0.094793651,0.046672619,-0.00487013,-0.089242236,-0.011811688,-0.036071429,-0.051636364,-0.115963875,-0.027842857,-0.058798186,-0.047633929,-0.030325843,-0.228208113,-0.09173157,-0.075071429,0.170761905,-0.04849619,-0.082395604,-0.037383069,-0.044952381,-0.033206827,-0.03568254,-0.050949363,-0.047948571,-0.009253788,-0.064145756,0.01327551
10,87700001,91100000,10q23.31,-0.077860857,-0.046344853,-0.057445701,-0.167878151,-0.0580625,-0.098019608,-0.015193627,-0.034683155,-0.105026854,-0.003429144,-0.013186975,-0.110221925,-0.141466531,-0.052180882,-0.067554622,-0.0541875,-0.039645076,-0.25786841,-0.122594989,-0.108682773,0,-0.050959118,-0.083538462,-0.093191503,-0.129353955,-0.04514068,-0.043156863,-0.06593372,-0.051058824,-0.043229947,-0.085154476,0.023256303
